year,stateabbr,locationname,locationid,measure,data_value,data_value_type,county_fips
2022,AL,Franklin,01059,Mammography use among women aged 50-74 years,72.1,Age-adjusted prevalence,01059
2022,AL,Franklin,01059,Mammography use among women aged 50-74 years,73.5,Crude prevalence,01059
2022,AL,Geneva,01061,Mammography use among women aged 50-74 years,76.9,Age-adjusted prevalence,01061
2022,AL,Geneva,01061,Mammography use among women aged 50-74 years,77.1,Crude prevalence,01061
2022,AL,Greene,01063,Mammography use among women aged 50-74 years,74.9,Age-adjusted prevalence,01063
2022,AL,Greene,01063,Mammography use among women aged 50-74 years,76.5,Crude prevalence,01063
2022,AL,Hale,01065,Mammography use among women aged 50-74 years,79.6,Age-adjusted prevalence,01065
2022,AL,Hale,01065,Mammography use among women aged 50-74 years,80.1,Crude prevalence,01065
2022,AL,Henry,01067,Mammography use among women aged 50-74 years,74.1,Age-adjusted prevalence,01067
2022,AL,Henry,01067,Mammography use among women aged 50-74 years,75.5,Crude prevalence,01067
2022,AL,Houston,01069,Mammography use among women aged 50-74 years,74.6,Age-adjusted prevalence,01069
2022,AL,Houston,01069,Mammography use among women aged 50-74 years,75.5,Crude prevalence,01069
2022,AL,Jackson,01071,Mammography use among women aged 50-74 years,72.4,Age-adjusted prevalence,01071
2022,AL,Jackson,01071,Mammography use among women aged 50-74 years,72.9,Crude prevalence,01071
2022,AL,Jefferson,01073,Mammography use among women aged 50-74 years,84.2,Age-adjusted prevalence,01073
2022,AL,Jefferson,01073,Mammography use among women aged 50-74 years,84.7,Crude prevalence,01073
2022,AL,Lamar,01075,Mammography use among women aged 50-74 years,77.1,Age-adjusted prevalence,01075
2022,AL,Lamar,01075,Mammography use among women aged 50-74 years,77.9,Crude prevalence,01075
2022,AL,Lauderdale,01077,Mammography use among women aged 50-74 years,74.6,Age-adjusted prevalence,01077
2022,AL,Lauderdale,01077,Mammography use among women aged 50-74 years,75.7,Crude prevalence,01077
2022,AL,Lawrence,01079,Mammography use among women aged 50-74 years,75.2,Age-adjusted prevalence,01079
2022,AL,Lawrence,01079,Mammography use among women aged 50-74 years,75.5,Crude prevalence,01079
2022,AL,Lee,01081,Mammography use among women aged 50-74 years,78.6,Age-adjusted prevalence,01081
2022,AL,Lee,01081,Mammography use among women aged 50-74 years,78.8,Crude prevalence,01081
2022,AL,Limestone,01083,Mammography use among women aged 50-74 years,76.1,Age-adjusted prevalence,01083
2022,AL,Limestone,01083,Mammography use among women aged 50-74 years,76.4,Crude prevalence,01083
2022,AL,Lowndes,01085,Mammography use among women aged 50-74 years,74.5,Age-adjusted prevalence,01085
2022,AL,Lowndes,01085,Mammography use among women aged 50-74 years,74.9,Crude prevalence,01085
2022,AL,Macon,01087,Mammography use among women aged 50-74 years,78.7,Age-adjusted prevalence,01087
2022,AL,Macon,01087,Mammography use among women aged 50-74 years,79.6,Crude prevalence,01087
2022,AL,Madison,01089,Mammography use among women aged 50-74 years,79.7,Age-adjusted prevalence,01089
2022,AL,Madison,01089,Mammography use among women aged 50-74 years,79.9,Crude prevalence,01089
2022,AL,Marengo,01091,Mammography use among women aged 50-74 years,75.7,Age-adjusted prevalence,01091
2022,AL,Marengo,01091,Mammography use among women aged 50-74 years,75.9,Crude prevalence,01091
2022,AL,Marion,01093,Mammography use among women aged 50-74 years,71.7,Age-adjusted prevalence,01093
2022,AL,Marion,01093,Mammography use among women aged 50-74 years,73.2,Crude prevalence,01093
2022,AL,Marshall,01095,Mammography use among women aged 50-74 years,72.9,Age-adjusted prevalence,01095
2022,AL,Marshall,01095,Mammography use among women aged 50-74 years,73.9,Crude prevalence,01095
2022,AL,Mobile,01097,Mammography use among women aged 50-74 years,77.4,Age-adjusted prevalence,01097
2022,AL,Mobile,01097,Mammography use among women aged 50-74 years,78.0,Crude prevalence,01097
2022,AL,Monroe,01099,Mammography use among women aged 50-74 years,75.8,Age-adjusted prevalence,01099
2022,AL,Monroe,01099,Mammography use among women aged 50-74 years,76.3,Crude prevalence,01099
2022,AL,Montgomery,01101,Mammography use among women aged 50-74 years,80.9,Age-adjusted prevalence,01101
2022,AL,Montgomery,01101,Mammography use among women aged 50-74 years,81.2,Crude prevalence,01101
2022,AL,Morgan,01103,Mammography use among women aged 50-74 years,74.9,Age-adjusted prevalence,01103
2022,AL,Morgan,01103,Mammography use among women aged 50-74 years,75.3,Crude prevalence,01103
2022,AL,Perry,01105,Mammography use among women aged 50-74 years,75.4,Age-adjusted prevalence,01105
2022,AL,Perry,01105,Mammography use among women aged 50-74 years,75.8,Crude prevalence,01105
2022,AL,Pickens,01107,Mammography use among women aged 50-74 years,79.5,Age-adjusted prevalence,01107
2022,AL,Pickens,01107,Mammography use among women aged 50-74 years,79.8,Crude prevalence,01107
2022,AL,Pike,01109,Mammography use among women aged 50-74 years,75.8,Age-adjusted prevalence,01109
2022,AL,Pike,01109,Mammography use among women aged 50-74 years,76.4,Crude prevalence,01109
2022,AL,Randolph,01111,Mammography use among women aged 50-74 years,74.4,Age-adjusted prevalence,01111
2022,AL,Randolph,01111,Mammography use among women aged 50-74 years,75.0,Crude prevalence,01111
2022,AL,Russell,01113,Mammography use among women aged 50-74 years,75.8,Age-adjusted prevalence,01113
2022,AL,Russell,01113,Mammography use among women aged 50-74 years,76.7,Crude prevalence,01113
2022,AL,St. Clair,01115,Mammography use among women aged 50-74 years,76.2,Age-adjusted prevalence,01115
2022,AL,St. Clair,01115,Mammography use among women aged 50-74 years,76.6,Crude prevalence,01115
2022,AL,Shelby,01117,Mammography use among women aged 50-74 years,80.3,Age-adjusted prevalence,01117
2022,AL,Shelby,01117,Mammography use among women aged 50-74 years,80.7,Crude prevalence,01117
2022,AL,Sumter,01119,Mammography use among women aged 50-74 years,79.3,Age-adjusted prevalence,01119
2022,AL,Sumter,01119,Mammography use among women aged 50-74 years,79.5,Crude prevalence,01119
2022,AL,Talladega,01121,Mammography use among women aged 50-74 years,76.6,Age-adjusted prevalence,01121
2022,AL,Talladega,01121,Mammography use among women aged 50-74 years,76.7,Crude prevalence,01121
2022,AL,Tallapoosa,01123,Mammography use among women aged 50-74 years,73.9,Age-adjusted prevalence,01123
2022,AL,Tallapoosa,01123,Mammography use among women aged 50-74 years,75.2,Crude prevalence,01123
2022,AL,Tuscaloosa,01125,Mammography use among women aged 50-74 years,78.1,Age-adjusted prevalence,01125
2022,AL,Tuscaloosa,01125,Mammography use among women aged 50-74 years,79.1,Crude prevalence,01125
2022,AL,Walker,01127,Mammography use among women aged 50-74 years,69.2,Age-adjusted prevalence,01127
2022,AL,Walker,01127,Mammography use among women aged 50-74 years,69.8,Crude prevalence,01127
2022,AL,Washington,01129,Mammography use among women aged 50-74 years,74.9,Age-adjusted prevalence,01129
2022,AL,Washington,01129,Mammography use among women aged 50-74 years,75.7,Crude prevalence,01129
2022,AL,Wilcox,01131,Mammography use among women aged 50-74 years,73.3,Age-adjusted prevalence,01131
2022,AL,Wilcox,01131,Mammography use among women aged 50-74 years,73.2,Crude prevalence,01131
2022,AL,Winston,01133,Mammography use among women aged 50-74 years,71.8,Age-adjusted prevalence,01133
2022,AL,Winston,01133,Mammography use among women aged 50-74 years,72.6,Crude prevalence,01133
2022,AK,Aleutians East,02013,Mammography use among women aged 50-74 years,62.8,Age-adjusted prevalence,02013
2022,AK,Aleutians East,02013,Mammography use among women aged 50-74 years,62.0,Crude prevalence,02013
2022,AK,Aleutians West,02016,Mammography use among women aged 50-74 years,64.3,Age-adjusted prevalence,02016
2022,AK,Aleutians West,02016,Mammography use among women aged 50-74 years,63.2,Crude prevalence,02016
2022,AK,Anchorage,02020,Mammography use among women aged 50-74 years,69.0,Age-adjusted prevalence,02020
2022,AK,Anchorage,02020,Mammography use among women aged 50-74 years,69.7,Crude prevalence,02020
2022,AK,Bethel,02050,Mammography use among women aged 50-74 years,57.2,Age-adjusted prevalence,02050
2022,AK,Bethel,02050,Mammography use among women aged 50-74 years,57.1,Crude prevalence,02050
2022,AK,Bristol Bay,02060,Mammography use among women aged 50-74 years,65.3,Age-adjusted prevalence,02060
2022,AK,Bristol Bay,02060,Mammography use among women aged 50-74 years,66.2,Crude prevalence,02060
2022,AK,Chugach,02063,Mammography use among women aged 50-74 years,67.6,Age-adjusted prevalence,02063
2022,AK,Chugach,02063,Mammography use among women aged 50-74 years,68.0,Crude prevalence,02063
2022,AK,Copper River,02066,Mammography use among women aged 50-74 years,68.8,Age-adjusted prevalence,02066
2022,AK,Copper River,02066,Mammography use among women aged 50-74 years,70.7,Crude prevalence,02066
2022,AK,Denali,02068,Mammography use among women aged 50-74 years,68.6,Age-adjusted prevalence,02068
2022,AK,Denali,02068,Mammography use among women aged 50-74 years,69.1,Crude prevalence,02068
2022,AK,Dillingham,02070,Mammography use among women aged 50-74 years,62.7,Age-adjusted prevalence,02070
2022,AK,Dillingham,02070,Mammography use among women aged 50-74 years,62.6,Crude prevalence,02070
2022,AK,Fairbanks North Star,02090,Mammography use among women aged 50-74 years,58.4,Age-adjusted prevalence,02090
2022,AK,Fairbanks North Star,02090,Mammography use among women aged 50-74 years,59.7,Crude prevalence,02090
2022,AK,Haines,02100,Mammography use among women aged 50-74 years,69.6,Age-adjusted prevalence,02100
2022,AK,Haines,02100,Mammography use among women aged 50-74 years,71.1,Crude prevalence,02100
2022,AK,Hoonah-Angoon,02105,Mammography use among women aged 50-74 years,67.2,Age-adjusted prevalence,02105
2022,AK,Hoonah-Angoon,02105,Mammography use among women aged 50-74 years,68.3,Crude prevalence,02105
2022,AK,Juneau,02110,Mammography use among women aged 50-74 years,68.5,Age-adjusted prevalence,02110
2022,AK,Juneau,02110,Mammography use among women aged 50-74 years,68.8,Crude prevalence,02110
2022,AK,Kenai Peninsula,02122,Mammography use among women aged 50-74 years,61.3,Age-adjusted prevalence,02122
2022,AK,Kenai Peninsula,02122,Mammography use among women aged 50-74 years,62.2,Crude prevalence,02122
2022,AK,Ketchikan Gateway,02130,Mammography use among women aged 50-74 years,67.0,Age-adjusted prevalence,02130
2022,AK,Ketchikan Gateway,02130,Mammography use among women aged 50-74 years,67.9,Crude prevalence,02130
2022,AK,Kodiak Island,02150,Mammography use among women aged 50-74 years,69.0,Age-adjusted prevalence,02150
2022,AK,Kodiak Island,02150,Mammography use among women aged 50-74 years,69.4,Crude prevalence,02150
2022,AK,Kusilvak,02158,Mammography use among women aged 50-74 years,48.5,Age-adjusted prevalence,02158
2022,AK,Kusilvak,02158,Mammography use among women aged 50-74 years,48.8,Crude prevalence,02158
2022,AK,Lake and Peninsula,02164,Mammography use among women aged 50-74 years,62.4,Age-adjusted prevalence,02164
2022,AK,Lake and Peninsula,02164,Mammography use among women aged 50-74 years,63.6,Crude prevalence,02164
2022,AK,Matanuska-Susitna,02170,Mammography use among women aged 50-74 years,64.4,Age-adjusted prevalence,02170
2022,AK,Matanuska-Susitna,02170,Mammography use among women aged 50-74 years,65.0,Crude prevalence,02170
2022,AK,Nome,02180,Mammography use among women aged 50-74 years,58.7,Age-adjusted prevalence,02180
2022,AK,Nome,02180,Mammography use among women aged 50-74 years,58.8,Crude prevalence,02180
2022,AK,North Slope,02185,Mammography use among women aged 50-74 years,65.9,Age-adjusted prevalence,02185
2022,AK,North Slope,02185,Mammography use among women aged 50-74 years,65.9,Crude prevalence,02185
2022,AK,Northwest Arctic,02188,Mammography use among women aged 50-74 years,62.1,Age-adjusted prevalence,02188
2022,AK,Northwest Arctic,02188,Mammography use among women aged 50-74 years,63.1,Crude prevalence,02188
2022,AK,Petersburg,02195,Mammography use among women aged 50-74 years,69.1,Age-adjusted prevalence,02195
2022,AK,Petersburg,02195,Mammography use among women aged 50-74 years,69.4,Crude prevalence,02195
2022,AK,Prince of Wales-Hyder,02198,Mammography use among women aged 50-74 years,64.4,Age-adjusted prevalence,02198
2022,AK,Prince of Wales-Hyder,02198,Mammography use among women aged 50-74 years,65.2,Crude prevalence,02198
2022,AK,Sitka,02220,Mammography use among women aged 50-74 years,71.4,Age-adjusted prevalence,02220
2022,AK,Sitka,02220,Mammography use among women aged 50-74 years,72.2,Crude prevalence,02220
2022,AK,Skagway,02230,Mammography use among women aged 50-74 years,66.7,Age-adjusted prevalence,02230
2022,AK,Skagway,02230,Mammography use among women aged 50-74 years,66.9,Crude prevalence,02230
2022,AK,Southeast Fairbanks,02240,Mammography use among women aged 50-74 years,61.9,Age-adjusted prevalence,02240
2022,AK,Southeast Fairbanks,02240,Mammography use among women aged 50-74 years,62.5,Crude prevalence,02240
2022,AK,Wrangell,02275,Mammography use among women aged 50-74 years,63.4,Age-adjusted prevalence,02275
2022,AK,Wrangell,02275,Mammography use among women aged 50-74 years,65.6,Crude prevalence,02275
2022,AK,Yakutat,02282,Mammography use among women aged 50-74 years,63.0,Age-adjusted prevalence,02282
2022,AK,Yakutat,02282,Mammography use among women aged 50-74 years,64.1,Crude prevalence,02282
2022,AK,Yukon-Koyukuk,02290,Mammography use among women aged 50-74 years,62.2,Age-adjusted prevalence,02290
2022,AK,Yukon-Koyukuk,02290,Mammography use among women aged 50-74 years,63.2,Crude prevalence,02290
2022,AZ,Apache,04001,Mammography use among women aged 50-74 years,58.0,Age-adjusted prevalence,04001
2022,AZ,Apache,04001,Mammography use among women aged 50-74 years,58.7,Crude prevalence,04001
2022,AZ,Cochise,04003,Mammography use among women aged 50-74 years,64.0,Age-adjusted prevalence,04003
2022,AZ,Cochise,04003,Mammography use among women aged 50-74 years,64.3,Crude prevalence,04003
2022,AZ,Coconino,04005,Mammography use among women aged 50-74 years,63.4,Age-adjusted prevalence,04005
2022,AZ,Coconino,04005,Mammography use among women aged 50-74 years,64.1,Crude prevalence,04005
2022,AZ,Gila,04007,Mammography use among women aged 50-74 years,63.1,Age-adjusted prevalence,04007
2022,AZ,Gila,04007,Mammography use among women aged 50-74 years,65.7,Crude prevalence,04007
2022,AZ,Graham,04009,Mammography use among women aged 50-74 years,67.9,Age-adjusted prevalence,04009
2022,AZ,Graham,04009,Mammography use among women aged 50-74 years,69.1,Crude prevalence,04009
2022,AZ,Greenlee,04011,Mammography use among women aged 50-74 years,70.9,Age-adjusted prevalence,04011
2022,AZ,Greenlee,04011,Mammography use among women aged 50-74 years,71.3,Crude prevalence,04011
2022,AZ,La Paz,04012,Mammography use among women aged 50-74 years,65.4,Age-adjusted prevalence,04012
2022,AZ,La Paz,04012,Mammography use among women aged 50-74 years,66.9,Crude prevalence,04012
2022,AZ,Maricopa,04013,Mammography use among women aged 50-74 years,75.0,Age-adjusted prevalence,04013
2022,AZ,Maricopa,04013,Mammography use among women aged 50-74 years,75.0,Crude prevalence,04013
2022,AZ,Mohave,04015,Mammography use among women aged 50-74 years,61.5,Age-adjusted prevalence,04015
2022,AZ,Mohave,04015,Mammography use among women aged 50-74 years,63.0,Crude prevalence,04015
2022,AZ,Navajo,04017,Mammography use among women aged 50-74 years,63.0,Age-adjusted prevalence,04017
2022,AZ,Navajo,04017,Mammography use among women aged 50-74 years,63.9,Crude prevalence,04017
2022,AZ,Pima,04019,Mammography use among women aged 50-74 years,72.7,Age-adjusted prevalence,04019
2022,AZ,Pima,04019,Mammography use among women aged 50-74 years,72.7,Crude prevalence,04019
2022,AZ,Pinal,04021,Mammography use among women aged 50-74 years,70.4,Age-adjusted prevalence,04021
2022,AZ,Pinal,04021,Mammography use among women aged 50-74 years,71.5,Crude prevalence,04021
2022,AZ,Santa Cruz,04023,Mammography use among women aged 50-74 years,70.9,Age-adjusted prevalence,04023
2022,AZ,Santa Cruz,04023,Mammography use among women aged 50-74 years,71.9,Crude prevalence,04023
2022,AZ,Yavapai,04025,Mammography use among women aged 50-74 years,61.4,Age-adjusted prevalence,04025
2022,AZ,Yavapai,04025,Mammography use among women aged 50-74 years,64.4,Crude prevalence,04025
2022,AZ,Yuma,04027,Mammography use among women aged 50-74 years,69.4,Age-adjusted prevalence,04027
2022,AZ,Yuma,04027,Mammography use among women aged 50-74 years,69.5,Crude prevalence,04027
2022,AR,Arkansas,05001,Mammography use among women aged 50-74 years,71.1,Age-adjusted prevalence,05001
2022,AR,Arkansas,05001,Mammography use among women aged 50-74 years,71.9,Crude prevalence,05001
2022,AR,Ashley,05003,Mammography use among women aged 50-74 years,67.6,Age-adjusted prevalence,05003
2022,AR,Ashley,05003,Mammography use among women aged 50-74 years,68.2,Crude prevalence,05003
2022,AR,Baxter,05005,Mammography use among women aged 50-74 years,69.7,Age-adjusted prevalence,05005
2022,AR,Baxter,05005,Mammography use among women aged 50-74 years,72.6,Crude prevalence,05005
2022,AR,Benton,05007,Mammography use among women aged 50-74 years,72.2,Age-adjusted prevalence,05007
2022,AR,Benton,05007,Mammography use among women aged 50-74 years,72.7,Crude prevalence,05007
2022,AR,Boone,05009,Mammography use among women aged 50-74 years,70.1,Age-adjusted prevalence,05009
2022,AR,Boone,05009,Mammography use among women aged 50-74 years,70.5,Crude prevalence,05009
2022,AR,Bradley,05011,Mammography use among women aged 50-74 years,71.5,Age-adjusted prevalence,05011
2022,AR,Bradley,05011,Mammography use among women aged 50-74 years,72.1,Crude prevalence,05011
2022,AR,Calhoun,05013,Mammography use among women aged 50-74 years,72.2,Age-adjusted prevalence,05013
2022,AR,Calhoun,05013,Mammography use among women aged 50-74 years,73.3,Crude prevalence,05013
2022,AR,Carroll,05015,Mammography use among women aged 50-74 years,68.1,Age-adjusted prevalence,05015
2022,AR,Carroll,05015,Mammography use among women aged 50-74 years,69.4,Crude prevalence,05015
2022,AR,Chicot,05017,Mammography use among women aged 50-74 years,73.4,Age-adjusted prevalence,05017
2022,AR,Chicot,05017,Mammography use among women aged 50-74 years,74.4,Crude prevalence,05017
2022,AR,Clark,05019,Mammography use among women aged 50-74 years,73.5,Age-adjusted prevalence,05019
2022,AR,Clark,05019,Mammography use among women aged 50-74 years,74.2,Crude prevalence,05019
2022,AR,Clay,05021,Mammography use among women aged 50-74 years,68.5,Age-adjusted prevalence,05021
2022,AR,Clay,05021,Mammography use among women aged 50-74 years,69.2,Crude prevalence,05021
2022,AR,Cleburne,05023,Mammography use among women aged 50-74 years,71.0,Age-adjusted prevalence,05023
2022,AR,Cleburne,05023,Mammography use among women aged 50-74 years,72.0,Crude prevalence,05023
2022,AR,Cleveland,05025,Mammography use among women aged 50-74 years,69.2,Age-adjusted prevalence,05025
2022,AR,Cleveland,05025,Mammography use among women aged 50-74 years,70.1,Crude prevalence,05025
2022,AR,Columbia,05027,Mammography use among women aged 50-74 years,73.0,Age-adjusted prevalence,05027
2022,AR,Columbia,05027,Mammography use among women aged 50-74 years,73.5,Crude prevalence,05027
2022,AR,Conway,05029,Mammography use among women aged 50-74 years,69.8,Age-adjusted prevalence,05029
2022,AR,Conway,05029,Mammography use among women aged 50-74 years,70.6,Crude prevalence,05029
2022,AR,Craighead,05031,Mammography use among women aged 50-74 years,66.6,Age-adjusted prevalence,05031
2022,AR,Craighead,05031,Mammography use among women aged 50-74 years,67.6,Crude prevalence,05031
2022,AR,Crawford,05033,Mammography use among women aged 50-74 years,68.1,Age-adjusted prevalence,05033
2022,AR,Crawford,05033,Mammography use among women aged 50-74 years,69.3,Crude prevalence,05033
2022,AR,Crittenden,05035,Mammography use among women aged 50-74 years,73.9,Age-adjusted prevalence,05035
2022,AR,Crittenden,05035,Mammography use among women aged 50-74 years,74.0,Crude prevalence,05035
2022,AR,Cross,05037,Mammography use among women aged 50-74 years,70.2,Age-adjusted prevalence,05037
2022,AR,Cross,05037,Mammography use among women aged 50-74 years,71.5,Crude prevalence,05037
2022,AR,Dallas,05039,Mammography use among women aged 50-74 years,75.3,Age-adjusted prevalence,05039
2022,AR,Dallas,05039,Mammography use among women aged 50-74 years,76.0,Crude prevalence,05039
2022,AR,Desha,05041,Mammography use among women aged 50-74 years,69.4,Age-adjusted prevalence,05041
2022,AR,Desha,05041,Mammography use among women aged 50-74 years,70.1,Crude prevalence,05041
2022,AR,Drew,05043,Mammography use among women aged 50-74 years,72.1,Age-adjusted prevalence,05043
2022,AR,Drew,05043,Mammography use among women aged 50-74 years,72.7,Crude prevalence,05043
2022,AR,Faulkner,05045,Mammography use among women aged 50-74 years,73.9,Age-adjusted prevalence,05045
2022,AR,Faulkner,05045,Mammography use among women aged 50-74 years,74.1,Crude prevalence,05045
2022,AR,Franklin,05047,Mammography use among women aged 50-74 years,69.8,Age-adjusted prevalence,05047
2022,AR,Franklin,05047,Mammography use among women aged 50-74 years,70.5,Crude prevalence,05047
2022,AR,Fulton,05049,Mammography use among women aged 50-74 years,69.0,Age-adjusted prevalence,05049
2022,AR,Fulton,05049,Mammography use among women aged 50-74 years,70.7,Crude prevalence,05049
2022,AR,Garland,05051,Mammography use among women aged 50-74 years,68.4,Age-adjusted prevalence,05051
2022,AR,Garland,05051,Mammography use among women aged 50-74 years,70.5,Crude prevalence,05051
2022,AR,Grant,05053,Mammography use among women aged 50-74 years,72.2,Age-adjusted prevalence,05053
2022,AR,Grant,05053,Mammography use among women aged 50-74 years,72.7,Crude prevalence,05053
2022,AR,Greene,05055,Mammography use among women aged 50-74 years,71.8,Age-adjusted prevalence,05055
2022,AR,Greene,05055,Mammography use among women aged 50-74 years,72.5,Crude prevalence,05055
2022,AR,Hempstead,05057,Mammography use among women aged 50-74 years,73.1,Age-adjusted prevalence,05057
2022,AR,Hempstead,05057,Mammography use among women aged 50-74 years,73.2,Crude prevalence,05057
2022,AR,Hot Spring,05059,Mammography use among women aged 50-74 years,64.8,Age-adjusted prevalence,05059
2022,AR,Hot Spring,05059,Mammography use among women aged 50-74 years,66.3,Crude prevalence,05059
2022,AR,Howard,05061,Mammography use among women aged 50-74 years,71.7,Age-adjusted prevalence,05061
2022,AR,Howard,05061,Mammography use among women aged 50-74 years,71.8,Crude prevalence,05061
2022,AR,Independence,05063,Mammography use among women aged 50-74 years,67.0,Age-adjusted prevalence,05063
2022,AR,Independence,05063,Mammography use among women aged 50-74 years,67.5,Crude prevalence,05063
2022,AR,Izard,05065,Mammography use among women aged 50-74 years,67.0,Age-adjusted prevalence,05065
2022,AR,Izard,05065,Mammography use among women aged 50-74 years,67.8,Crude prevalence,05065
2022,AR,Jackson,05067,Mammography use among women aged 50-74 years,66.8,Age-adjusted prevalence,05067
2022,AR,Jackson,05067,Mammography use among women aged 50-74 years,66.9,Crude prevalence,05067
