candidate_id,candidate_name,county_fips,latitude,longitude
HRSA-HCSD-BPS-H80-000114,Rural Health Group at Roanoke Rapids,37083,36.40458789,-77.64743342
HRSA-HCSD-BPS-H80-000250,GOSHEN MEDICAL CENTER - BEULAVILLE,37061,34.92943378,-77.7696803
HRSA-HCSD-BPS-H80-000391,CommWell Health of Salemburg,37163,35.00941248,-78.50750001
HRSA-HCSD-BPS-H80-000437,LYON PARK CLINIC,37063,35.98926421,-78.9198888
HRSA-HCSD-BPS-H80-000489,"KINSTON COMMUNITY HEALTH CENTER, INC.",37107,35.26326336,-77.58138637
HRSA-HCSD-BPS-H80-000629,AGAPE COMMUNITY HEALTH CENTER,37013,35.54652312,-77.05339998
HRSA-HCSD-BPS-H80-000848,COLERAIN PRIMARY CARE,37015,36.20134845,-76.76897594
HRSA-HCSD-BPS-H80-000857,Rural Health Group at Rich Square,37131,36.27283062,-77.28579998
HRSA-HCSD-BPS-H80-000965,LOGAN FAMILY MEDICINE,37025,35.39835043,-80.57964779
HRSA-HCSD-BPS-H80-001000,Rural Health Group Pediatrics and Dental,37083,36.40426116,-77.6482292
HRSA-HCSD-BPS-H80-001097,Contentnea Health KBR,37079,35.45364241,-77.68220214
HRSA-HCSD-BPS-H80-001105,Rural Health Group at Jackson,37131,36.41006199,-77.43642496
HRSA-HCSD-BPS-H80-001142,MCGILL FAMILY MEDICINE,37025,35.41728959,-80.59720712
HRSA-HCSD-BPS-H80-001167,The C.W. Williams Community Health Center Inc.,37119,35.22417146,-80.89610068
HRSA-HCSD-BPS-H80-001197,MedNorth Health Center,37129,34.24641634,-77.94636738
HRSA-HCSD-BPS-H80-001405,John H. Lucas Sr Wellness Center,37063,35.9525674,-78.90420953
HRSA-HCSD-BPS-H80-001441,Wilson Community Health Center,37195,35.72507756,-77.90722272
HRSA-HCSD-BPS-H80-001501,Lincoln CHC -Durham County Human Services,37063,35.99203908,-78.89646809
HRSA-HCSD-BPS-H80-001637,HEALTH CARE FOR THE HOMELESS,37063,35.9931053,-78.8953388
HRSA-HCSD-BPS-H80-001640,GOSHEN MEDICAL CENTER - COMMUNITY HEALTH SERVICES,37191,35.21173733,-78.07661562
HRSA-HCSD-BPS-H80-001642,APEX,37183,35.72876296,-78.85307489
HRSA-HCSD-BPS-H80-001819,Scott Community Health Center,37001,36.21299468,-79.39697818
HRSA-HCSD-BPS-H80-001845,"Lincoln Community Health Center, Inc.",37063,35.980571,-78.89771331
